rule_def_id,type_code,type_group,type_name,natural_language_condition,rule_expression,reason_text,priority_order,reference_columns,active_flag,effective_from,effective_to,version_no,explanation_template,created_at,updated_at
11,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2026-04-01,,3,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2026-04-01T08:30:00Z,2026-05-01T08:30:00Z
12,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2027-05-01,,4,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2027-05-01T08:30:00Z,2027-06-01T08:30:00Z
13,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2028-06-01,,5,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2028-06-01T08:30:00Z,2028-07-01T08:30:00Z
14,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2029-07-01,,6,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2029-07-01T08:30:00Z,2029-08-01T08:30:00Z
15,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2030-08-01,,7,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2030-08-01T08:30:00Z,2030-09-01T08:30:00Z
16,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2031-09-01,,8,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2031-09-01T08:30:00Z,2031-10-01T08:30:00Z
17,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2024-03-01,,1,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2024-03-01T08:30:00Z,2024-04-01T08:30:00Z
18,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2025-04-01,,2,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2025-04-01T08:30:00Z,2025-05-01T08:30:00Z
19,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2026-05-01,,3,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2026-05-01T08:30:00Z,2026-06-01T08:30:00Z
20,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2027-06-01,,4,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2027-06-01T08:30:00Z,2027-07-01T08:30:00Z
21,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2028-07-01,,5,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2028-07-01T08:30:00Z,2028-08-01T08:30:00Z
22,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2029-08-01,,6,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2029-08-01T08:30:00Z,2029-09-01T08:30:00Z
23,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2030-09-01,,7,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2030-09-01T08:30:00Z,2030-10-01T08:30:00Z
24,E03,제외(인심사),면책·분쟁 KCD,진단코드(KCD)가 Q·F·L로 시작하는 청구,"LEFT(진단코드,1) IN ('Q','F','L')",선천성(Q)·정신(F)·피부(L)는 면책·분쟁 빈발 영역,3,진단코드,Y,2031-10-01,,8,면책·분쟁 KCD에 해당하면 제외(인심사)로 판정한다.,2031-10-01T08:30:00Z,2031-11-01T08:30:00Z
25,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2024-04-01,,1,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2024-04-01T08:30:00Z,2024-05-01T08:30:00Z
26,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2025-05-01,,2,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2025-05-01T08:30:00Z,2025-06-01T08:30:00Z
27,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2026-06-01,,3,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2026-06-01T08:30:00Z,2026-07-01T08:30:00Z
28,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2027-07-01,,4,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2027-07-01T08:30:00Z,2027-08-01T08:30:00Z
29,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2028-08-01,,5,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2028-08-01T08:30:00Z,2028-09-01T08:30:00Z
30,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2029-09-01,,6,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2029-09-01T08:30:00Z,2029-10-01T08:30:00Z
31,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2030-10-01,,7,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2030-10-01T08:30:00Z,2030-11-01T08:30:00Z
32,E04,제외(인심사),타사 실손 보유,타사 실손계약을 보유한 청구(비례보상 대상),타사실손계약여부='Y',타사와의 비례보상 정산 필요,4,타사실손계약여부,Y,2031-11-01,,8,타사 실손 보유에 해당하면 제외(인심사)로 판정한다.,2031-11-01T08:30:00Z,2031-12-01T08:30:00Z
33,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2024-05-01,,1,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2024-05-01T08:30:00Z,2024-06-01T08:30:00Z
34,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2025-06-01,,2,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2025-06-01T08:30:00Z,2025-07-01T08:30:00Z
35,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2026-07-01,,3,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2026-07-01T08:30:00Z,2026-08-01T08:30:00Z
36,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2027-08-01,,4,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2027-08-01T08:30:00Z,2027-09-01T08:30:00Z
37,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2028-09-01,,5,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2028-09-01T08:30:00Z,2028-10-01T08:30:00Z
38,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2029-10-01,,6,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2029-10-01T08:30:00Z,2029-11-01T08:30:00Z
39,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2030-11-01,,7,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2030-11-01T08:30:00Z,2030-12-01T08:30:00Z
40,E05,제외(인심사),현장조사 이력 고객,과거 현장조사 이력이 있는 고객의 청구,현장조사이력여부='Y',도덕적 해이 모니터링 대상,5,현장조사이력여부,Y,2031-12-01,,8,현장조사 이력 고객에 해당하면 제외(인심사)로 판정한다.,2031-12-01T08:30:00Z,2032-01-01T08:30:00Z
41,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2024-06-01,,1,계약 실효에 해당하면 제외(인심사)로 판정한다.,2024-06-01T08:30:00Z,2024-07-01T08:30:00Z
42,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2025-07-01,,2,계약 실효에 해당하면 제외(인심사)로 판정한다.,2025-07-01T08:30:00Z,2025-08-01T08:30:00Z
43,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2026-08-01,,3,계약 실효에 해당하면 제외(인심사)로 판정한다.,2026-08-01T08:30:00Z,2026-09-01T08:30:00Z
44,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2027-09-01,,4,계약 실효에 해당하면 제외(인심사)로 판정한다.,2027-09-01T08:30:00Z,2027-10-01T08:30:00Z
45,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2028-10-01,,5,계약 실효에 해당하면 제외(인심사)로 판정한다.,2028-10-01T08:30:00Z,2028-11-01T08:30:00Z
46,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2029-11-01,,6,계약 실효에 해당하면 제외(인심사)로 판정한다.,2029-11-01T08:30:00Z,2029-12-01T08:30:00Z
47,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2030-12-01,,7,계약 실효에 해당하면 제외(인심사)로 판정한다.,2030-12-01T08:30:00Z,2031-01-01T08:30:00Z
48,E06,제외(인심사),계약 실효,계약상태가 실효인 청구,계약상태='실효',효력 회복 전 지급 불가,6,계약상태,Y,2032-01-01,,8,계약 실효에 해당하면 제외(인심사)로 판정한다.,2032-01-01T08:30:00Z,2032-02-01T08:30:00Z
49,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2024-07-01,,1,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2024-07-01T08:30:00Z,2024-08-01T08:30:00Z
50,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2025-08-01,,2,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2025-08-01T08:30:00Z,2025-09-01T08:30:00Z
51,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2026-09-01,,3,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2026-09-01T08:30:00Z,2026-10-01T08:30:00Z
52,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2027-10-01,,4,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2027-10-01T08:30:00Z,2027-11-01T08:30:00Z
53,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2028-11-01,,5,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2028-11-01T08:30:00Z,2028-12-01T08:30:00Z
54,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2029-12-01,,6,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2029-12-01T08:30:00Z,2030-01-01T08:30:00Z
55,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2031-01-01,,7,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2031-01-01T08:30:00Z,2031-02-01T08:30:00Z
56,E07,제외(인심사),비급여 과다,비급여비중이 70%를 초과하는 청구,비급여비중>0.70,비급여 편중은 과잉진료 의심,7,비급여비중,Y,2032-02-01,,8,비급여 과다에 해당하면 제외(인심사)로 판정한다.,2032-02-01T08:30:00Z,2032-03-01T08:30:00Z
57,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2024-08-01,,1,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2024-08-01T08:30:00Z,2024-09-01T08:30:00Z
58,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2025-09-01,,2,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2025-09-01T08:30:00Z,2025-10-01T08:30:00Z
59,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2026-10-01,,3,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2026-10-01T08:30:00Z,2026-11-01T08:30:00Z
60,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2027-11-01,,4,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2027-11-01T08:30:00Z,2027-12-01T08:30:00Z
61,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2028-12-01,,5,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2028-12-01T08:30:00Z,2029-01-01T08:30:00Z
62,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2030-01-01,,6,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2030-01-01T08:30:00Z,2030-02-01T08:30:00Z
63,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2031-02-01,,7,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2031-02-01T08:30:00Z,2031-03-01T08:30:00Z
64,E08,제외(인심사),단기 다발 청구,최근 12개월 청구건수가 임계치(예 12건) 이상인 청구,최근12개월_청구건수>=12,단기 다발 청구는 과다청구 패턴 가능성,8,최근12개월_청구건수,Y,2032-03-01,,8,단기 다발 청구에 해당하면 제외(인심사)로 판정한다.,2032-03-01T08:30:00Z,2032-04-01T08:30:00Z
65,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2024-09-01,,1,유의병원에 해당하면 제외(인심사)로 판정한다.,2024-09-01T08:30:00Z,2024-10-01T08:30:00Z
66,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2025-10-01,,2,유의병원에 해당하면 제외(인심사)로 판정한다.,2025-10-01T08:30:00Z,2025-11-01T08:30:00Z
67,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2026-11-01,,3,유의병원에 해당하면 제외(인심사)로 판정한다.,2026-11-01T08:30:00Z,2026-12-01T08:30:00Z
68,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2027-12-01,,4,유의병원에 해당하면 제외(인심사)로 판정한다.,2027-12-01T08:30:00Z,2028-01-01T08:30:00Z
69,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2029-01-01,,5,유의병원에 해당하면 제외(인심사)로 판정한다.,2029-01-01T08:30:00Z,2029-02-01T08:30:00Z
70,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2030-02-01,,6,유의병원에 해당하면 제외(인심사)로 판정한다.,2030-02-01T08:30:00Z,2030-03-01T08:30:00Z
71,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2031-03-01,,7,유의병원에 해당하면 제외(인심사)로 판정한다.,2031-03-01T08:30:00Z,2031-04-01T08:30:00Z
72,E09,제외(인심사),유의병원,유의병원에서 발생한 청구,유의병원여부='Y',사무장병원·과잉청구 의심기관,9,유의병원여부,Y,2032-04-01,,8,유의병원에 해당하면 제외(인심사)로 판정한다.,2032-04-01T08:30:00Z,2032-05-01T08:30:00Z
73,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2024-10-01,,1,고액 청구에 해당하면 제외(인심사)로 판정한다.,2024-10-01T08:30:00Z,2024-11-01T08:30:00Z
74,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2025-11-01,,2,고액 청구에 해당하면 제외(인심사)로 판정한다.,2025-11-01T08:30:00Z,2025-12-01T08:30:00Z
75,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2026-12-01,,3,고액 청구에 해당하면 제외(인심사)로 판정한다.,2026-12-01T08:30:00Z,2027-01-01T08:30:00Z
76,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2028-01-01,,4,고액 청구에 해당하면 제외(인심사)로 판정한다.,2028-01-01T08:30:00Z,2028-02-01T08:30:00Z
77,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2029-02-01,,5,고액 청구에 해당하면 제외(인심사)로 판정한다.,2029-02-01T08:30:00Z,2029-03-01T08:30:00Z
78,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2030-03-01,,6,고액 청구에 해당하면 제외(인심사)로 판정한다.,2030-03-01T08:30:00Z,2030-04-01T08:30:00Z
79,E10,제외(인심사),고액 청구,1회 청구 총발생의료비가 500만원 이상,총발생의료비>=5000000,고액 청구는 정밀심사 원칙,10,총발생의료비,Y,2031-04-01,,7,고액 청구에 해당하면 제외(인심사)로 판정한다.,2031-04-01T08:30:00Z,2031-05-01T08:30:00Z
80,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2024-11-01,,1,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2024-11-01T08:30:00Z,2024-12-01T08:30:00Z
81,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2025-12-01,,2,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2025-12-01T08:30:00Z,2026-01-01T08:30:00Z
82,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2027-01-01,,3,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2027-01-01T08:30:00Z,2027-02-01T08:30:00Z
83,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2028-02-01,,4,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2028-02-01T08:30:00Z,2028-03-01T08:30:00Z
84,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2029-03-01,,5,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2029-03-01T08:30:00Z,2029-04-01T08:30:00Z
85,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2030-04-01,,6,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2030-04-01T08:30:00Z,2030-05-01T08:30:00Z
86,E11,제외(인심사),면책기간 내,청약/부활 후 면책기간(예 90일) 이내 진료 청구,면책기간내여부='Y',고지의무·면책 해당 여부 확인 필요,11,면책기간내여부,Y,2031-05-01,,7,면책기간 내에 해당하면 제외(인심사)로 판정한다.,2031-05-01T08:30:00Z,2031-06-01T08:30:00Z
87,E12,제외(인심사),장기 입원,입원이며 입원일수가 30일을 초과하는 청구,진료구분='입원' AND 입원일수>30,적정 입원기간 여부 심사 필요,12,"진료구분,입원일수",Y,2024-12-01,,1,장기 입원에 해당하면 제외(인심사)로 판정한다.,2024-12-01T08:30:00Z,2025-01-01T08:30:00Z
